SchaefferID,inC1,inC2,inC3,inC4,Assignment
89,0,1,1,0,5
90,0,0,0,0,0
91,1,0,1,0,5
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,1,4
97,0,1,0,0,2
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,1,4
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,1,0,0,2
110,0,1,0,0,2
111,0,1,0,0,2
112,0,1,1,0,5
113,0,0,1,0,3
114,0,1,0,0,2
115,0,0,0,0,0
116,0,1,0,0,2
117,0,1,0,0,2
118,0,0,0,0,0
119,0,1,0,0,2
120,0,1,0,0,2
121,0,1,0,0,2
122,0,1,0,0,2
123,0,1,0,1,5
124,0,1,0,0,2
125,0,1,0,0,2
126,0,1,0,0,2
127,0,0,0,0,0
128,0,0,0,0,0
129,0,0,0,0,0
130,0,0,0,0,0
131,0,0,0,0,0
132,0,1,0,0,2
133,0,0,0,1,4
134,1,0,0,0,1
135,0,0,0,0,0
136,0,0,0,0,0
137,0,0,0,0,0
138,0,0,0,0,0
139,0,0,0,1,4
140,0,0,0,0,0
141,0,0,0,0,0
142,0,0,0,1,4
143,0,0,0,0,0
144,0,1,0,0,2
145,0,1,0,0,2
146,0,1,0,0,2
147,0,0,0,0,0
148,0,0,0,0,0
149,0,1,0,0,2
150,0,1,0,0,2
151,0,0,0,0,0
152,0,1,0,0,2
153,0,0,0,0,0
154,0,1,0,0,2
155,0,1,0,0,2
156,0,0,0,0,0
157,0,0,0,0,0
158,0,1,0,0,2
159,0,0,0,1,4
160,0,1,0,0,2
161,0,0,0,0,0
162,0,1,0,0,2
163,0,1,0,0,2
164,0,0,0,0,0
165,0,0,0,0,0
166,0,0,0,0,0
167,0,0,0,0,0
168,0,1,0,0,2
169,0,1,0,0,2
170,0,0,0,0,0
171,1,0,0,0,1
172,0,0,0,0,0
173,1,0,0,0,1
174,1,1,0,0,5
175,0,0,0,0,0
176,0,0,0,0,0
177,1,0,0,0,1
178,1,0,0,0,1
