PicSeq_AgeAdj,CardSort_AgeAdj,Flanker_AgeAdj,PMAT24_A_CR,PMAT24_A_SI,PMAT24_A_RTCR,ReadEng_AgeAdj,PicVocab_AgeAdj,ProcSpeed_AgeAdj,DDisc_AUC_200,DDisc_AUC_40K,VSPLOT_TC,VSPLOT_CRTE,VSPLOT_OFF,SCPT_SEN,SCPT_SPEC,IWRD_TOT,IWRD_RTC,ListSort_AgeAdj
110.97,111.05,111.73,21.0,0.0,11371.0,121.1654,131.626,125.28,0.17767084,0.26914084,18.0,797.3269,18.0,1.0,0.8417,35.0,1462.5,113.85
130.24,91.31,86.0,22.0,0.0,21349.0,125.1023,118.0895,123.33,0.18613437,0.41731793,14.0,500.0,17.0,0.9167,0.9333,36.0,1295.0,108.26
130.24,103.9,120.75,22.0,0.0,15189.0,86.89896,91.94673,79.15,0.5447281,0.83164084,16.0,1102.8943,17.0,1.0,0.95,38.0,1295.0,103.57
99.78,100.33,105.67,20.0,0.0,18355.0,109.6684,115.8851,114.51,0.10436354,0.6233075,16.0,780.2143,17.0,0.9667,0.95,38.0,1495.0,103.57
121.69,107.82,101.83,18.0,1.0,7834.5,119.2465,145.1715,131.89,0.24850416,0.6218752,16.0,799.2857,18.0,1.0,0.9083,38.0,1150.0,103.57
105.2,108.85,117.75,22.0,0.0,15848.0,128.5668,134.1956,119.78,0.10879063,0.3062502,15.0,1055.0,27.0,0.9167,1.0,40.0,1500.0,108.26
83.54,102.9,103.23,9.0,10.0,7370.0,102.2055,90.49834,89.14,0.04707187400000001,0.14466166,11.0,908.75,39.0,0.9833,0.95,36.0,1425.0,98.44
84.93,112.78,99.22,22.0,0.0,9330.0,120.6348,112.4969,108.74,0.48678540000000003,0.5906252,19.0,788.5714,12.0,0.9833,0.9083,39.0,1097.5,98.44
94.9,94.7,108.44,10.0,9.0,5480.0,90.26259,99.02767,101.27,0.11087396,0.030208541000000002,17.0,1119.0834,19.0,0.9333,0.8667,37.0,1095.0,94.33
121.69,89.94,79.42,20.0,0.0,14194.5,124.0343,91.91275,97.87,0.038478125,0.11250020599999999,24.0,1449.5673,7.0,0.9833,0.975,29.0,1495.0,108.26
117.47,101.64,76.81,15.0,4.0,21090.0,93.68968000000001,84.22622,72.46,0.045639582000000005,0.052474167,15.0,1095.7142,26.0,0.9667,0.975,34.0,1980.0,103.57
84.16,103.01,105.01,18.0,1.0,19485.0,120.3644,118.133,131.89,0.44811353,0.9617190000000001,14.0,1153.2858,21.0,0.9833,0.9917,30.0,1607.5,118.14
75.71,86.2,83.89,15.0,4.0,14629.0,73.40061,82.80967,83.82,0.46530104,0.43697938,5.0,762.3077,48.0,0.8833,0.95,38.0,1445.5,85.26
113.39,89.94,105.31,17.0,2.0,15099.0,90.81366,95.62628000000001,90.9,0.30892083,0.84466165,13.0,1431.125,25.0,0.9667,0.9417,37.0,1342.25,89.14
96.13,95.23,86.67,24.0,0.0,27895.0,112.7561,110.32,127.45,0.09850416,0.09791687,18.0,1371.726,16.0,0.9667,0.925,40.0,1292.5,80.7
112.44,89.66,99.38,17.0,2.0,11761.0,96.90819,94.15465,125.28,0.06386875,0.24153666,9.0,1060.0,67.0,0.9,0.9833,34.0,1565.25,103.57
112.44,90.91,91.17,21.0,0.0,21731.0,105.1158,100.1535,56.69,0.16699375,0.44544291,19.0,1442.5,14.0,0.9667,0.9417,35.0,2170.0,89.14
130.24,100.67,114.29,23.0,0.0,23690.0,118.84,130.2,119.6,0.20306146,0.39726582,18.0,1630.2858,13.0,0.9833,0.95,37.0,1347.5,123.73
130.24,105.2,110.82,22.0,0.0,21490.0,128.0854,121.8853,77.17,0.61660314,0.7602867,24.0,1954.9546,8.0,1.0,0.975,39.0,1232.5,123.73
78.92,81.94,90.61,8.0,11.0,7770.5,88.38409,94.85126,71.1,0.2611344,0.47200543,5.0,777.0,39.0,0.9667,0.9583,33.0,1442.5,98.44
98.43,117.42,114.42,16.0,3.0,13405.0,126.7981,121.2599,142.86,0.07975417,0.19960958,13.0,677.1429,21.0,0.9833,0.9917,35.0,1595.0,132.49
106.06,115.71,105.07,19.0,0.0,11499.0,88.4938,107.6023,110.48,0.11230625,0.2656252,16.0,843.2143,19.0,0.95,0.9667,36.0,2312.5,94.33
